,words,sentiments,word
978,अन्जुलिमा,,anjulima
979,बुन्दले,,bundale
980,प्यास,,thirst
981,मेट्न,,delete
982,खोज्छु,,i try to
983,रिझाउने,,appeasement
984,रीत,,reet
985,नसुन्दैमा,,nasundaima
986,मर्ने,दुखी,die
987,चोरि,,one stolen
988,ल्याएँ,,egypt
989,निलो,,blue
990,गहिराइबाट,,the depths
991,सुनी,,heard
992,हेरे,,looked
993,सबमा,,the same
994,गीतको,,song
995,मुहान,,source
996,जिउंदोलाई,,aboriginal
997,सास,,mother
998,फेर्न,,change
999,जहितहि,,jahitahi
1000,हावा,,wind
1001,अधिकार,,right
1002,हुं,,hi
1003,प्रियसीका,,valentine
1004,यादहरु,,yadaharu
1005,कोरिएको,,scratchy
1006,एकान्तमा,,privately
1007,फुकाएर,,loose
1008,पिरतीका,,romance
1009,घातहरु,,keystrokes
1010,भरिएको,,full
1011,रसिएका,,rasieka
1012,आँखालाई,,the eye
1013,सुकाएर,,dried
1014,जताततै,,everywhere
1015,अंगालेको,,considers
1016,चारैतिर,,round
1017,भंगालेको,,bhangaleko
1018,व्यथा,,soreness
1019,पाइला,,step
1020,संगालेको,,bundled
1021,जेथा,,asset
1022,सम्झनाका,,the memorial
1023,छाँयाहरु,,chamyaharu
1024,धुंवा,,smoke
1025,तिर्खाएको,,thirsty
1026,नमेटिने,,imprinted
1027,कुंवा,,bachelor
1028,वास,,habitat
1029,खोज्दै,,searching
1030,उडी,,flying
1031,हिड्ने,,walking
1032,भुवा,,fur
1033,सधैँ,,always
1034,हाँसे,,howl
1035,रुवाई,,ruvai
1036,खुसी,,happy
1037,तयार,,ready
1038,छु,,i
1039,पिरहरू,,piraharu
1040,ती,,the
1041,मेटिएला,,perish
1042,जुनीभरको,,junibharako
1043,लागि,,for
1044,लिन,,take
1045,पाउने,,will
1046,तर,,"however,"
1047,बाँचुन्जेल,,as long as
1048,घात,,ambush
1049,गर्ने,,the
1050,हाँसिदेऊ,,hamsideu
1051,आँट,,courage
1052,छोड्ने,,leave
1053,हक,,right
1054,टिठ्याउने,,captors
1055,मृत्युसम्म,,death
1056,गलहत्त्याउने,,galahattyaune
1057,बाँचिदेउ,,bamcideu
1058,अरु,,more
1059,धेर,,definitely
1060,चाहिँदैन,,not need
1061,यति,,so
1062,दिउला,,diula
1063,तिमीलाइ,,you navigate
1064,बिर्सने,,forgetful
1065,छ्न,,locked in
1066,साराले,,sarah
1067,प्रेमका,,love
1068,सबॆ,,sabe
1069,क्षनहरु,,ksanaharu
1070,खुशि,,birmingham
1071,आखा,,akha
1072,बस्नु,,stay
1073,निदाउनु,,slumber
1074,सुस्तरी,,gentle
1075,चिहाउनु,,cihaunu
1076,सधॆ,,sadhe
1077,आउनु,,come
1078,गाउँछ,,sings
1079,ज्योतिको,,light
1080,पंख,,feather
1081,उचाली,,lifted
1082,जय,देश्भक्ती,victory
1083,नेपाल,देश्भक्ती,nepal
1084,शान्त,देश्भक्ती,quiet
1085,गण्डकी,देश्भक्ती,gandaki
1086,कोसी,देश्भक्ती,kosi
1087,कर्णाली,देश्भक्ती,karnali
1088,मेची,देश्भक्ती,mechi
1089,महाकाली,देश्भक्ती,mahakali
1090,लेक,देश्भक्ती,lake
1091,बिउझाउँछन,,biujhaumchana
1092,लहर,,wave
1093,लाखौँ,,millions
1094,हिमालचुली,देश्भक्ती,himalchuli
1095,बोलाउँछ,,calls
1096,झुल्का,,jhulka
1097,निकाली,,removed
1098,सगरमाथा,देश्भक्ती,everest
1099,शिखरमा,,height
1100,पुग्दछ,,reaches
1101,पहिले,,first
1102,सीताले,देश्भक्ती,sita
1103,भिजाइन,,bhijaina
1104,दक्षिण,देश्भक्ती,south
1105,लंका,देश्भक्ती,ceylon
1106,भारत,देश्भक्ती,india
1107,भृकुटी,देश्भक्ती,eyebrow
1108,तारा,,star
1109,उदाइन,,mccomb
1110,उत्तर,,north
1111,चीन,,china
1112,तिब्बत,,tibet
1113,बुद्धले,देश्भक्ती,buddha
1114,यहीँ,,here
1115,पाएथे,,paethe
1116,ज्ञानको,,wisdom
1117,शिवले,,shiva
1118,ल्याएथे,,lyaethe
1119,सृस्टीको,,srstiko
1120,बिहान,,in the morning
1121,पश्चिम,देश्भक्ती,west
1122,किल्ला,देश्भक्ती,fortress
1123,काँगडा,देश्भक्ती,kangra
1124,पूर्वमा,देश्भक्ती,east
1125,टिस्टा,देश्भक्ती,tista
1126,पुगेथ्यौँ,,pugethyaum
1127,कुन,,what
1128,शक्तिको,,power
1129,सामुमा,,"meantime,"
1130,झुकेथ्यौँ,,jhukethyaum
1131,हामीले,,we have
1132,उठायौँ,,haibung
1133,एसियाको,देश्भक्ती,asia
1134,माझमा,,among
1135,सभ्यता,देश्भक्ती,civilization
1136,बसेथ्यो,,basethyo
1137,साँझमा,,evening
1138,यही,,this
1139,माटोमा,देश्भक्ती,soil
1140,रोपेर,,plant
1141,पहाडी,देश्भक्ती,mountain
1142,शिलामा,,stone mentions
1143,प्रीतको,,preet
1144,खोपेर,,graven
1145,बाँचौला,,may live
1146,नेपालमा,देश्भक्ती,nepal
1147,ध्वोजा,देश्भक्ती,dhvoja
1148,नाँचौला,,namcaula
1149,हिमालमा,देश्भक्ती,mountains
1150,वैंश,,vainsa
1151,छदा,,distraught
1152,सङ,,seung
1153,लाईन्छ,,laincha
1154,खाईन्छ,,khaincha
1155,दिल,,heart
1156,तोडिन्छ,,erodes
1157,अंत,,end
1158,लगन,,devotion
1159,जोडिन्छ,,is charged
1160,प्रीती,,preethi
1161,लाउने,,dressing
1162,रिती,,rituals
1163,लाउनु,,wear
1164,सस्तो,,cheap
1165,यता,,"meanwhile,"
1166,मिलन,,union
1167,उता,,"meanwhile,"
1168,बिछोड,,separation
1169,हाँस्छ,,laughs
1170,रुन्छ,,weep
1171,जुडछ,,judacha
1172,मिली,,found
1173,बाडछ,,badacha
1174,जिवनसाथी,,jivanasathi
1175,रोज्न,,choose
1176,साह्रो,,hard
1177,गाह्रो,,difficult
1178,लेखमा,,article
1179,गुराँसै,,guramsai
1180,फुल्यो,,blossom
1181,नी,,nee
1182,उस्तै,,similar
1183,रोग,,disease
1184,लाग्यो,,was
1185,रुदा,,ruda
1186,लाई,,to
1187,फुलेछ,,phulecha
1188,हरु,,s
1189,उनेर,,adorned with
1190,साथी,,friend
1191,सङी,,sani
1192,आई,,i
1193,जिस्काउन,,teasing
1194,छाडीदेउ,,chadideu
1195,गहराई,,depth
1196,अडेको,,the application of
1197,रहन्छ,,stays
1198,झझल्को,,clause
1199,नौलाखे,,naulakhe
1200,उज्यालो,,light
1201,छरीदेउ,,charideu
1202,भये,,bhaye
1203,राखिदेउ,,rakhideu
1204,बरु,,"rather,"
1205,पोखाउछु,,pokhauchu
1206,बीच,,beach
1207,दुरी,,distance
1208,मायाले,,love
1209,घटाउछु,,ghatauchu
1210,भुल्न,,misery
1211,याद,,remember
1212,आईरहन्छ,,airahancha
1213,पहाड,देश्भक्ती,mountain
1214,भन्ज्याङ्गले,देश्भक्ती,bhanjyangale
1215,बोलाइरहन्छ,,bolairahancha
1216,डाँडाकाँडा,देश्भक्ती,mountains
1217,आँगनै,,amganai
1218,भिर,,gird
1219,चाँप,,pinch
1220,चमेली,,jasmine
1221,फुल्छ,,grow
1222,थरीथरी,,wide variety
1223,झरनाको,,brook
1224,सुसेली,,whistling
1225,झलझली,,vividly
1226,शिर,,head
1227,बनी,,bunny
1228,उभिएको,,standing
1229,करौडौँ,देश्भक्ती,millions
1230,मुटुमाझ,देश्भक्ती,mutumajha
1231,सजिएको,,blossoming
1232,विर,,senior
1233,माहात्मा,देश्भक्ती,mahatma
1234,बुद्ध,देश्भक्ती,buddha
1235,जन्मिएको,,birth
1236,स्वदेश,देश्भक्ती,home
1237,प्यारा,देश्भक्ती,lovely
1238,टीका,देश्भक्ती,vaccine
1239,कुरि,,cor
1240,बसिदेउ,,basideu
1241,छली,,insidious
1242,लुकेर,,secretly
1243,भयेका,,bhayeka
1244,सुनाउनु,,news
1245,लाज,,shame
1246,ले,,take
1247,जवानी,,youth
1248,फर्किएला,,pharkiela
1249,मात्रै,,only
1250,हेरि,,seal
1251,बुझाउने,,submit
1252,ठाउ,,accommodation
1253,हुन्न्न,,hunnna
1254,गरे,,the
1255,गाठो,,tie
1256,राखिदिये,,rakhidiye
1257,भाखै,,bhakhai
1258,बुझन,,understanding
1259,चाडै,,sale
1260,पोखाउ,,pokhau
1261,घटाउ,,minus
1262,चौबन्दी,देश्भक्ती,caubandi
1263,चोली,देश्भक्ती,brassiere
1264,लाईदेउ,,laideu
1265,कुरी,,kury
1266,सपनी,,sapani
1267,देखेको,,seen
1268,गाउ,,country
1269,साक्षी,,witness
1270,केश,,hair
1271,लाली,,redness
1272,गुरासँ,देश्भक्ती,gurasam
1273,लाजले,,shame
1274,गोर्खाली,देश्भक्ती,gurkha
1275,गोर्खे,देश्भक्ती,telly
1276,अैलग्ने,,aailagne
1277,सत्रु,,an enemy
1278,गर्छु,,i
1279,काम,,work
1280,तमाम,,all
1281,ईतिहास,देश्भक्ती,history
1282,पल्ताइ,,paltai
1283,हेर,,look
1284,पुर्खा,देश्भक्ती,father
1285,सोद,,soda
1286,जितेकै,देश्भक्ती,jitekai
1287,संसार,देश्भक्ती,world
1288,जस्ताइ,,jastai
1289,दुख्ख,,hardship
1290,निर्दयी,,cruel
1291,हैनउ,,hainau
1292,वीर,देश्भक्ती,heroic
1293,खोले,,opened
1294,सिस्नो,,cisco
1295,माम,,ma'am
1296,अङाल्छु,,analchu
1297,जातिलाई,देश्भक्ती,nations
1298,संगीत,,music
1299,सस्कर,,saskara
1300,गर्ब,देश्भक्ती,gharb
1301,पन,,hydro
1302,गौछु,,gauchu
1303,पहाडै,देश्भक्ती,bts
1304,देउसी,देश्भक्ती,deusi
1305,भाईलो,देश्भक्ती,bhailo
1306,माटो,देश्भक्ती,soil
1307,छदै,,ahead with
1308,गोर्खाल,देश्भक्ती,gorkhala
1309,येशूको,देश्भक्ती,jesus'
1310,ढुकढुकिने,,dhukadhukine
1311,आँखैमा,,adapted
1312,बसिरहने,,stay
1313,प्राणभन्दा,,mankind
1314,रगतले,,blood
1315,किनेको,,bought
1316,साइनो,,surely
1317,क्रूसको,,cross
1318,मण्डली,,congregation
1319,हौँ,,who are
1320,ख्रीष्ट,,christ
1321,प्रभुको,,the lord
1322,सम्बन्ध,,relationship
1323,गहिरिएको,,deeper
1324,खिलिएको,,khilieko
1325,प्रेमले,,love
1326,उनको,,his
1327,नटुटने,,natutane
1328,ल,,l
1329,भयौं,,we are
1330,भेला,,together
1331,फेरी,,ferry
1332,येशू,,jesus
1333,गायौं,,mourned
1334,राजा,,king
1335,शरीर,,body
1336,हौं,,are
1337,हुनुहुन्छ,,is
1338,वहाँ,,there
1339,गाँसिएको,,linked to
1340,जीवनले,,life
1341,प्रभावले,,the influence
1342,यसको,,the
1343,संसारै,,the world
1344,ढाकिने,,covered
1345,लाइदिउला,,laidiula
1346,पियार,,piyara
1347,,,#VALUE!
1348,परान,,paran
1349,घुमाउन,,rotate
1350,ठमेल,,thamel
1351,बजार,,markets
1352,ट्याउसि,,tyausi
1353,चढाउदै,,cadhaudai
1354,,,#VALUE!
1355,लैजाउला,,laijaula
1356,काठमाडौं,,kathmandu
1357,सहर,,city
1358,रहर,,desire
1359,तेइ,,tei
1360,लाउला,,cheek
1361,सारै,,sarai
1362,कुवाको,,contaminated
1363,खोइ,,where
1364,केले,,bananas
1365,उखाउनी,,ukhauni
1366,तिर्खामा,,thirst
1367,पसिना,,sweat
1368,छुट्याे,,chutyae
1369,तन,,tan
1370,बुझाउनि,,bujhauni
1371,ल्याइदिउला,,lyaidiula
1372,मिनरलको,,.good
1373,हजुर,,yes
1374,हौ,,are
1375,रानी,,queen
1376,बेलैमा,,an early
1377,पाक्यो,,ripe
1378,रसिलो,,succulent
1379,दाना,,grain
1380,भिरैमा,,bhiraima
1381,क्यार्नु,,kyarnu
1382,मुखै,,mouth
1383,रसायो,,with tears
1384,खाउ,,soul
1385,मर्नु,,death
1386,ल्याउला,,feared
1387,टिपेर,,picked up
1388,तिम्लाइ,,timlai
1389,भिरको,,bhirako
1390,अङ्गुर,,grape
1391,,,#VALUE!
1392,बरै,,fuckass
1393,दशि,,dasi
1394,धारा,,current
1395,नरोए,,naroe
1396,अामा,,aama
1397,बाँचे,,survived
1398,पठाउम्ला,,pathaumla
1399,तस्बिरै,,tasbirai
1400,खिचेर,,convincingly
1401,लेख्योनि,,lekhyoni
1402,भाबीले,,bhabile
1403,कर्मलिला,,karmalila
1404,ठैमलाउ,,thaimalau
1405,सोध्लानी,,will say
1406,छोरा,,son
1407,भन्नलान्,,bhannalan
1408,रन,,run
1409,जित्दैछन,,jitdaichana
1410,भन्दिए,,.but
1411,अामाले,,aamale
1412,सोध्लिननी,,sodhlinani
1413,भन्लिन्,,may say
1414,रजहै,,rajahai
1415,खुल्यो,,opened
1416,दाजैले,,dajaile
1417,सोध्लान,,sodhlana
1418,भार्इ,,bhari
1419,भन्लान्,,say
1420,अंशै,,ansai
1421,बढ्यो,,increased
1422,भाउजुले,,bhaujule
1423,देवर,,brother
1424,खसी,,ibex
1425,काट,,bite
1426,भाइले,,brother
1427,सोध्लाननी,,sodhlanani
1428,दाजै,,dajai
1429,घेरमा,,doubting
1430,परे,,beyond
1431,दिदीले,,dora
1432,माइति,,maiti
1433,घटे,,reduced
1434,बैनीले,,the iceberg
1435,घट्यो,,decreased
1436,छोराले,,the son
1437,बाबा,,grandfather
1438,टोपि,,hood
1439,झिक,,the ram
1440,छोरी,,daughter
1441,भन्लिन,,bhanlina
1442,सुन,,hear
1443,चुराको,,steal
1444,दान,,donation
1445,दिए,,the
1446,प्रियाले,,priya
1447,स्वामी,,lord
1448,फूक्यो,,blew a
1449,साथीले,,friend
1450,लाहुरे,,gurkha
1451,भन्लान,,say
1452,मार,,kill
1453,बटाैलीको,,bataailiko
1454,बजारमा,,market
1455,चार,,four
1456,पैसाको,,money
1457,लाहा,,lac
1458,शिरको,,head
1459,स्वर्गे,,to heaven
1460,हुँदा,,when
1461,घरबस्नीलार्इ,,gharabasnilari
1462,शिसैकाट्योनी,,sisaikatyoni
1463,गोलीले,,bullets
1464,रणामा,,ranama
1465,परी,,fairy
1466,मरेछन,,marechana
1467,लाहुरै,,lahurai
1468,रून्छन,,runchana
1469,लाै,,laai
1470,बर्षदिन,,barsadina
1471,जुगै,,jugai
1472,भरिलाै,,bharilaai
1473,हुदैन,,no
1474,नमरेको,,the barbarians
1475,प्रहर,,daytime
1476,भागेर,,flee
1477,जाऊँ,,go
1478,ठाऊँ,,byword
1479,मान्छे,,people
1480,नमर्ने,,dies
1481,चल्दैन,,run
1482,,,#VALUE!
1483,बत्तिमा,,light
1484,दियोमा,,lamps
1485,बल्दैन,,ends
1486,खटन,patriotic,khatana
1487,नियतीको,,bound
1488,निभ्छ,,goes out
1489,ठहर,,stop
1490,छ्यौ,,harder
1491,छयौ,,zot
1492,देखाउन,,show
1493,गार्‍हो,,difficult
1494,जिन्दगीमा,,lifetime
1495,मजा,,fun
1496,सासले,,defend the
1497,दिन्छ,,allows
1498,धोका,,deceive
1499,दिन्नौ,,outlets
1500,थाह,,know
1501,कोहि,,anyone
1502,हुन्,,are
1503,नहुन्,,therein
1504,,,#VALUE!
1505,यस्मा,,aloof
1506,शंका,,doubt
1507,नहोस्,,not
1508,आशांका,,asanka
1509,रम्दछु,,ramdachu
1510,मायैले,,mayaile
1511,मेट्छु,,acknowledge
1512,टाढै,,avoid
1513,बतास,,wind
1514,भेट्छु,,tent
1515,संगै,,together
1516,भयौ,,thee
1517,सजिलो,,easy
1518,दुखी,,sad
1519,रुन्छु,,cry
1520,साटो,,instead of
1521,साइली,,cowshed
1522,परदेशबाट,,doorkeeper
1523,चालीस,,forty
1524,कटेसी,,katesi
1525,रमाउँला,,ramaumla
1526,तेलै,,telai
1527,हुरुरु,,airy
1528,सम्झी,,notice
1529,नरुनु,,weep
1530,नाम्लो,,namlo
1531,बरियो,,bariyo
1532,भावीको,,future
1533,खेलमा,,games
1534,परियो,,indulge
1535,कुलोमा,,coloma
1536,कलल,,morula
1537,गाउँघरको,,homes
1538,झलल,,jhalala
1539,पिढीमा,,generation of
1540,जाँतो,,millstone
1541,घरर,,gharara
1542,झर्दो,,jhardo
1543,आँसु,,tears
1544,बरर,,barara
1545,सोध्दै,,asking
1546,आयो,,came
1547,आएन,,did not
1548,सोधे,,asked
1549,घरले,,house
1550,भन्नैसकेन,,bhannaisakena
1551,कुनै,,no
1552,हुन्थ्यो,,would
1553,चिठ्ठी,,letter
1554,आइ,,i
1555,दैलो,,the doors
1556,मुनिबाट,,fountains
1557,पस्यो,,entered into
1558,पसेन,,fairness
1559,बाडौ,,badau
1560,साचेको,,sache
1561,घरबाहिर,,outdoors
1562,नाउँ,,the name
1563,लेखी,,writing
1564,टाँसेको,,bumper
1565,डुल्ने,,hike
1566,आखाँ,,eyes
1567,परेन,,found
1568,जित्ने,,to win
1569,तिमि,,you are
1570,भबिष्य,,future
1571,गाउने,,singing
1572,रच्दै,,forming
1573,सुरमा,,antimony
1574,ताल,,beat
1575,मिलाईदेउ,,milaideu
1576,येही,,totality
1577,अर्थ,,meaning
1578,रच्नुको,,he designed
1579,रहोस,,rhos
1580,हिड्दा,,jungles
1581,हिड्दै,,walking
1582,थाक्छु,,thakchu
1583,त्येतिबेला,,tyetibela
1584,आड,,support
1585,बनिदेउ,,banideu
1586,मोड,,mode
1587,सोच्न,,think
1588,सकिन,,could
1589,विचार,,idea
1590,येहि,,yehi
1591,भन्नुको,,mean
1592,ठुलो,,great
1593,बिलम्ब,,delay
1594,गर्न,,to
1595,नपरोस,,christmas
1596,सुनौलो,,golden
1597,भविष्य,,future
1598,साकार,,realizing
1599,भरोशा,,the boldness
1600,हरपल,,seek to
1601,रक्षा,,defense
1602,आत्मबल,,initiative
1603,मिलैदेउ,,milaideu
1604,आओ,,come on
1605,कोल्टे,,tilt
1606,फर्ेर्दै,,pharerdai
1607,सुकेको,,dried
1608,दिलमा,,heart
1609,आगो,,fire
1610,लाएर,,straight
1611,जाओ,,go
,,,#VALUE!
1613,निरास,,frustrated
1614,हाल्छु,,yea
1615,दुःख,,suffer
1616,दुःखैमा,,exceedingly
1617,गाल्छु,,galchu
1618,आँशुहरु,,amsuharu
1619,चिम्लेको,,condoned
1620,हर्ेर्दैछु,,harerdaichu
1621,सागर,,sea
1622,गहभित्र,,gahabhitra
1623,चाहे,,whether
1624,रोईदिन्छु,,roidinchu
1625,छातीभित्र,,bowels
1626,खोजे,,search
1627,बल्भिईदिन्छु,,balbhiidinchu
1628,आशा,,hope
1629,होइन,,not
1630,बोकी,,carry
1631,हिँडेको,,walking
1632,सुम्पेको,,given
1633,आफू,,he was
1634,भएको,,the
1635,अधरको,,adharako
1636,निचोरी,,nicori
1637,दिईसकेछु,,diisakechu
1638,बल्भिइदिन्छु,,balbhiidinchu
1639,हेर्राईमा,,herraima
1640,तिमरो,,timaro
1641,नपुगे,,commodity
1642,दिएर,,by
1643,दिईन,,sorely
1644,पसेर,,into
1645,बल,,strength
1646,गरेर,,by
1647,भन्दिन,,neither
1648,गर्र्छौ,,quietly
1649,छोड,,leave
1650,अन्तै,,somewhere
1651,मिल्छ,,matches
1652,मैसँग,,is false
1653,जोड,,emphasis
1654,मत,,not
1655,गर्छर्ुुतिमीलाई,,garcharuutimilai
1656,गर्छर्ुुतमीलाई,,garcharuutamilai
1657,होर,,hor
1658,तिम्लाई,,lay
1659,तिम्ले,,her-
1660,आफन्तलाई,,relatives
1661,सोध्नु,,ask
1662,पर्ने,,the
1663,रितै,,him away empty
1664,जन्मघर,,porters
1665,जन्मघरसँगको,,birth place
1666,तोड,,break
1667,पर्राईको,,parraiko
1668,ओड,,odd
1669,पर्राई,,parrai
1670,एउटालाई,,one
1671,यात्रा,,travel
1672,भिन्न,,different
1673,कहिलेकाहीँ,,sometimes
1674,साँचो,,true
1675,चिन्न,,know
1676,त्रि्रो,,"stand,"
1677,टुक्रा,,pieces
1678,फोड,,tore
1679,फल,,fruit
1680,नदिने,,allowing
1681,बृक्षलाई,,tree
1682,गोड,,god
1683,साधनाको,,sadhana
1684,यिनै,,these
1685,सात,,seven
1686,सूर,,tire
1687,मीत,,friend
1688,आरोह,,ascending
1689,अवरोह,,descent
1690,गति,,motion
1691,जीवनको﻿,,life
1692,जीवनको,,life
1693,मर्ुछनामा,,maruchanama
1694,सब,,all
1695,लुकेको,,hidden
1696,अलंकार,,decking
1697,सरगमका,,gamut
1698,ग,,c
1699,प,,sol
1700,सा,,what
1701,ध,,th
1702,रे,,ray
1703,अचल,,immovable
1704,षडज,,sadaja
1705,पञ्चम,,pancama
1706,सौभाग्य,,good luck
1707,भाव,,price
1708,नर्तन,,"dancing,"
1709,गुञ्जन,,hark
1710,केटा,,guy
1711,ओइ,,oi
1712,होइ,,hoi
1713,हाई,,high
1714,केटी,,girl
1715,नचिन्ने,,do not know
1716,चोटी,,top
1717,आयौ,,but what
1718,भन्देउ,,gonna
1719,गाउँमा,,village
1720,लोभिएर,,hoped that
1721,नहेर,,look
1722,गम्केर,,swag
1723,अल्लारे,,shallow
1724,उमेरैले,,umeraile
1725,निकै,,very
1726,रैछौ,,raichau
1727,बाट,,from
1728,आइछौ,,aichau
1729,कहाँबाट,,where
1730,चन्चले,,playful
1731,देखेर,,seeing
1732,भन्छु,,tell
1733,भरिएका,,full
1734,रसिला,,juicy
1735,सुटुक्कै,,privately
1736,सुन्दिन,,audibly
1737,सुनाऊ,,nourished
1738,नहुनु,,no
1739,भुतुक्कै,,foolish
1740,बुझ,,extinguished
1741,ढुकढुकी,,heartbeat
1742,जिन्दगानी,,jindagani
1743,बन्छ,,becomes
1744,बेर,,plum
1745,जाती,,are
1746,जुनीजुनी,,junijuni
1747,बाच्छु,,bacchu
1748,भनी,,that
1749,लाउँछन्,,wrecks
1750,बैंसलाई,,bains
1751,रुपैकी,,rupaiki
1752,खानी,,mines
1753,नसालु,,athar
1754,डुब्न,,sink
1755,नम्बरको,,number
1756,पाखे,,weird
1757,ट्रक,,truck
1758,ड्राइभर,,driver
1759,अचेलका,,play at
1760,ठिटाको,,flipping
1761,लाग्दैन,,think
1762,भित्रभित्रै,,wrestle
1763,लोभिन्छौ,,lobhinchau
1764,बाहिर,,out
1765,आँखैले,,eyewitnesses
1766,तर्छौ,,overflow
1767,बसन्ती,,basanti
1768,ढलि,,dhali
1769,जोबन,,jobana
1770,गर्छौ,,do
1771,हुन्न,,not
1772,डर,,fear
1773,मनलाई,,heart
1774,खबर,,news
1775,बग्दै,,dip
1776,जुनलाई,,something
1777,दिनले,,day
1778,घामलाई,,the sun
1779,पाए,,found
1780,अजम्बरी,,ajambari
1781,लाउँला,,abode
1782,लुकामारी,,seek
1783,खेल्छ,,plays
1784,किन,,why
1785,खान्छ,,eats
1786,कुटु,,kutu
1787,कैले,,kalle
1788,तितो,,bitter
1789,रैछ,,ect
1790,मुटुको,,heart
1791,घामपानीले,,ghamapanile
1792,मायालाई,,maya
1793,छुन्छ,,touches
1794,रंग,,color
1795,मधुरो,,dim
1796,किनाराले,,borders
1797,नदीलाई,,river
1798,डोर्याए,,guided
1799,नदीले,,river
1800,दाजु,,brother
1801,नसमाऊ,,nasamau
1802,नाडीमा,,wrists
1803,जान्न,,know
1804,डिजेलको,,diesel
1805,गाडीमा,,car
1806,हिलो,,hilo
1807,लाग्ला,,sound
1808,नाइलनको,,nylon
1809,साडीमा,,saree
1810,समाऊ,,hold
1811,घुम्न,,turn
1812,जाऊ,,go
1813,बाइस,,twenty-two
1814,वर्ष,,year
1815,लागिसक्या,,lagisakya
1816,फिलै,,philai
1817,नहुने,,not
1818,मैंयाहरु,,mainyaharu
1819,दिलै,,grins
1820,ट्यालेन्ट,,talent
1821,स्यालेन्ट,,syalenta
1822,नचाहिने,,spam
1823,सलमान,,salman
1824,खानको,,food
1825,केटाहरुलाई,,boys
1826,झुलाएर,,jhulaera
1827,ड्रिम,,dream
1828,समवनको,,someone
1829,भिनाजुको,,her husband
1830,सिंगल,,single
1831,सालो,,years
1832,गोरो,,goro
1833,खोज्छौ,,seek
1834,ह्यान्डसम,,hyandasama
1835,नपट्टीएसम्म,,napattiesamma
1836,गफ,,gough
1837,मिसन,,mission
1838,पुरा,,full
1839,भएपछि,,when
1840,मोबाइल,,mobile
1841,अफ,,of
1842,घरमा,,house
1843,राम,,ram
1844,कृष्ण,,krishna
1845,फकाउनलाई,,seduce
1846,भन्छौ,,say
1847,कत्ति,,how
1848,ड्याड,,dad
1849,ममको,,mamako
1850,पाउनलाई,,must
1851,गार्है,,have gone
1852,पर्ला,,perla
1853,गोरी,,white
1854,गोदावरी,,godavari
1855,बनैमा,,banaima
1856,मनैमा,,think-
1857,आउन,,to come
1858,बसौं,,and lodge
1859,चोभारैको,,cobharaiko
1860,डाँडइमा,,damdaima
1861,काखैमा,,shore
1862,लौ,,flame
1863,प्रिती,,preeti
1864,साटौं,,change location
1865,कान्छी,,younger
1866,एकोहोरो,,routine
1867,नलाएकै,,nalaekai
1868,बेस,,base
1869,हुनेछ,,will
1870,छुट्टै,,separate
1871,चल्नेछ,,the moon
1872,नखाएकै,,nakhaekai
1873,काँडामाथि,,kamdamathi
1874,हिड्छु,,walk alone
1875,भनें,,said
1876,उठे,,up
1877,बार,,bar
1878,लड्छु,,ladchu
1879,जानी,,should
1880,व्यर्थै,,without
1881,नजलाएकै,,najalaekai
1882,अधुरो,,incomplete
1883,बन्ला,,the impasse
1884,प्रेम,,love
1885,संग,,with
1886,लायौ,,the rebellious
1887,डाँडई,,damdai
1888,काटी,,cut
1889,जानु,,go
1890,पर्दा,,when
1891,पछि,,later
1892,धायौ,,dhayau
1893,बैस,,bass
1894,नफालेको,,dumped
1895,बोलेको,,speaking
1896,बोली,,bid
1897,मीठ्ठो,,miththo
1898,सूरिलो,,surilo
1899,आवाजको,,voice
1900,जादू,,magic
1901,जोवनले,,jovanale
1902,पीरतिको,,piratiko
1903,लेख्ने,,write
1904,गहिराइमा,,depth
1905,भाकेर,,bhakera
1906,ओ,,o
1907,ल्याइदिउंला,,lyaidiunla
1908,तिलहरी,,sexist
1909,बुलकी,,bulaki
1910,इ,,e
1911,आगौको,,agauko
1912,सालैमा,,annually
1913,धपक्कै,,dhapakkai
1914,पियारी,,honey
1915,सिरानी,,pillow
1916,राइफलको,,firearms
1917,मारुनी,,maru
1918,नाच्छ,,naccha
1919,छम्,,cham
1920,थपनि,,thapani
1921,मुटुमै,,seas
1922,आउछ,,comes
1923,झनझन,,ding
1924,झन्,,more
1925,जहिले,,always
1926,दोधारे,,unstable
1927,तीर,,arrow
1928,ल्याउंला,,lyaunla
1929,लाइरने,,lairane
1930,गाइरने,,gairane
1931,विरह,,separation
1932,मुटुले,,beating
1933,पल्,,pal
1934,बिहानी,,morning
1935,साँझै,,samjhai
1936,आइरनी,,irony
1937,झलझल,,jhalajhala
1938,झल्,,jhal
1939,गाउँघर,,homes
1940,तहिले,,caring
1941,चंगा,,healed
1942,भेट,,meet
1943,गाउँछु,,thanks
1944,गाउछु,,gauchu
1945,बनोस्,,flourish
1946,हर,,everyone
1947,जोडीले,,couple
1948,भनोस्,,hearing
1949,बनोस,,regime
1950,राम्रा,,good
1951,त्यहाँ,,there
1952,विपना,,bipana
1953,जहाँहाँहाँ,,jahamhamham
1954,नियालेर,,look
1955,पाउँछौ,,profit
1956,चित्र,,picture
1957,सजाई,,decorated
1958,सक्या,,female has
1959,भन्दा,,most
1960,लाग्दो,,i think
1961,वसमा,,janoah
1962,हुँदो,,would
1963,हुदो,,excruciating
1964,डुल्छ,,dulcha
